Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
CO2 emissions (kt),EN.ATM.CO2E.KT,Slovak Republic,SVK,38072.2,38577,38065.4,38331.2,37430.5,38518.3,37873.3,37190.3,37097.2,33908.9,35432.2,34116.9,32347.1,32920.4,30438.1,30753.7,31497.8,33576.5,33005.1,31032.5,29035.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Slovenia,SVN,14541.7,15380.1,15524.6,15413,15699.6,15916.5,16293.7,16283.4,17360.1,15509.2,15777.2,15700.8,15123.6,14548.1,13112.7,13139.7,13903,14123.7,14072.9,13665,12477.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Solomon Islands,SLB,235.4,245.8,257.6,268.9,286.3,294.7,304,313.7,323.2,333.5,342.8,355.9,355.6,389,340.7,304.1,298.1,295,300.9,304.8,223.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Somalia,SOM,486.6,509.5,571,577.5,577.5,580.6,581.6,623.6,618.7,614.4,631.2,632.5,625.7,649.4,645.9,646.2,654.4,654.9,656.1,655.7,660.4
CO2 emissions (kt),EN.ATM.CO2E.KT,South Africa,ZAF,284463.3,320393.3,331272,353033.5,379939.8,377642.7,379736,397161.9,427111.7,404354,425548.4,409480.3,427001.7,437261.7,448298.1,425063.1,425682.9,435214.5,439644.6,446626,393241.6
CO2 emissions (kt),EN.ATM.CO2E.KT,South Sudan,SSD,459.820652,529.083617,674.322257,753.349164,951.984363,912.013225,998.668212,1173.198679,1239.105288,1290.671108,1313.250224,1281.212289,1418.6,1453.1,1519.6,1969.4,1730.2,1512.1,1768.9,1824.6,1742.7
CO2 emissions (kt),EN.ATM.CO2E.KT,Spain,ESP,293314.3,294786.8,312753.3,318657.7,335560.3,350499.8,341776.3,354683.1,324274.2,288131.2,274140.6,275470.1,270280.4,243794.9,241979.9,257251.2,248252.1,264723.7,258373.2,241886.5,202705.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Sri Lanka,LKA,10928.9,10848,11385.2,12412.3,12868.2,13984.4,12404.9,13591.6,12810.7,12291.4,13071.8,15410.2,17440.4,14448.4,17458.3,19240.9,23167.6,23140.5,21690.3,23427.9,21846.3
CO2 emissions (kt),EN.ATM.CO2E.KT,St. Kitts and Nevis,KNA,181.2,188.8,201.8,201.9,219.2,203.6,210.4,224.5,221.3,228.6,229.2,236.4,229.1,227.2,228.4,237.6,244.6,243,245.2,247.5,231
CO2 emissions (kt),EN.ATM.CO2E.KT,St. Lucia,LCA,366.8,386.6,373.3,396.2,416.9,411.1,431.6,440,444.9,444.2,507.7,501.6,507,506.4,505.9,501.2,505.5,530.9,527.9,534.6,499.2
CO2 emissions (kt),EN.ATM.CO2E.KT,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,St. Vincent and the Grenadines,VCT,155.6,187.4,196.7,208.2,228.3,229.7,227.7,246,229.2,288.2,233.6,224.9,240.8,226.3,267.5,246.5,255.2,225.1,252.3,235.1,219.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Sudan,SDN,5690.74,6254.93,7713.9,7931.9,8827.8,10496,12900.25,13969.9,14959.56,15490.3,16427.4,15936.6,15806.3,15853.2,16658.5,19259.2,21503.1,21579.5,21670.3,22131.5,20796.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Suriname,SUR,1480.42,1520.56,1115.66,1233.96,1392.96,1687.26,1529.27,1411.28,1455.49,1446.77,1744.87,1952.73,2441.63,2289.81,2620,2724.1,2954.886,2444.33,2146.53,2656.82,2601.32
CO2 emissions (kt),EN.ATM.CO2E.KT,Sweden,SWE,53277.5,52497.3,54023.7,55202.7,53593.3,50082.6,48734.9,47054.3,46023.3,42760.7,47985.5,44452,41996.6,40388.1,38993,39120.1,38691.2,38168.2,35915.9,34964.6,33576.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Switzerland,CHE,43708.8,45154.7,43573.3,44839.5,45283.9,45850.7,45479.3,43541.2,44962.5,43668.6,45207.8,41192.3,42516.6,43531.2,39793.3,39090.8,39666.5,38699,37481.3,37376.3,34916.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Syrian Arab Republic,SYR,44401.1,44728.9,44267.3,44378.7,46364.3,57220.3,60213.9,63604.5,65275.9,60696.7,61090.7,57562.5,45039.2,30696.6,26603.9,25260.7,24479.1,25794.4,28303.1,26840.4,25234.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Tajikistan,TJK,2200.97,2150.05,2133.81,2175.1,2597.02,2471.2,2686.5,3267.8,3041.06,2405.15,2446.9,2564.2,3015.2,3195.1,4583.6,4904.8,5496.7,6757.7,8097.3,8965.7,9328.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Tanzania,TZA,2946.4,3128.3,3565.8,3769.5,5081.7,5660,5991.7,5906.5,6073,5928.6,6909.9,8019.7,9587.9,10698,10108,10765.9,10646.9,11659.3,12018.9,14960.8,14435.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Thailand,THA,168941.4,178776.6,190573.9,195675.5,213439.9,222096.8,224693.7,231901.7,233893.7,224850.1,240768.3,238968.5,256286,264681,261377,268853.3,267916.3,267137.1,264483.6,274466.7,265478.9
CO2 emissions (kt),EN.ATM.CO2E.KT,Timor-Leste,TLS,0,0,168.7,167.6,182.5,180.7,185,191.4,210.1,235.4,244.1,252.4,300.4,364.4,449.8,437.2,518.9,561.8,510.1,617.6,446.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Togo,TGO,1269,1178.1,1344.2,1833.8,1778.2,1748.1,1569.6,1503.7,1568.8,2824.7,2630.1,2515.6,2235.8,1749,1588.5,1825.6,2305.6,2018.7,2189.9,2442.3,2415.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Tonga,TON,102.9,94.7,101.7,123.5,117.4,117.2,134.9,119.8,127.3,138.1,117.7,107.4,109.3,114.7,113.4,109.9,123.9,132.9,134.2,161.5,118.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Trinidad and Tobago,TTO,10204.5,11619.6,12674.7,15446.9,16096,17580,20054.6,20485.8,20012.1,19030.2,21443,22243,21497.2,22186.3,22014.2,21310.6,18291.6,18224.7,17763.7,17195.3,15420
CO2 emissions (kt),EN.ATM.CO2E.KT,Tunisia,TUN,21068.8,21971,22147.1,21961.7,23020.2,23538.6,24472.1,25366.7,25960.7,25984.2,28321.5,26717.4,29106.2,28601.9,30976,31627.4,30317.8,30742.6,31023.1,31045,29293
CO2 emissions (kt),EN.ATM.CO2E.KT,Turkiye,TUR,216396.5,197771.1,208107.6,219158.6,224601.2,235003,261083.6,288967.8,287205,288307.2,297814,318641.2,329797.8,319088.6,341671.5,353413.8,376399,418098.2,414111.9,398772.9,407406.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Turkmenistan,TKM,38507.5,39123,41410.7,46350.2,49365.2,50592.5,51916.5,58482.3,59279.7,52386.8,59175.1,65076.7,66758.5,63791.5,62189,63777.6,64079.5,63871.6,63317.6,63231.8,63655
CO2 emissions (kt),EN.ATM.CO2E.KT,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Tuvalu,TUV,7.9,9.9,9.1,8.5,8.5,8.5,11,13.2,9.5,10.6,9.6,10.2,9.8,8.7,8.5,7.7,7.5,7.7,8.8,8.9,6.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Uganda,UGA,1297.6,1303.9,1486.2,1567.2,1629.6,2024,2399.5,2868.2,2971.8,3357.3,3332,3744.2,3777.1,3694.3,4112.2,4712.1,4946.3,5172,5866.6,5943,5674.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Ukraine,UKR,297376.8,300552.9,303940.8,330228.5,307135.6,295405.2,303989.4,312141.5,301195.3,251616.6,268924.6,283342.4,277110.2,270268.7,237728.7,191067.8,201655.4,174938.3,185623.8,174599.9,165663.6
CO2 emissions (kt),EN.ATM.CO2E.KT,United Arab Emirates,ARE,84729.1,97196.5,99146.3,103820.5,110007.6,116453.9,121562.5,131831.6,156044.4,157019.8,162788.9,166631.5,175687.9,184960.8,186639.8,195409.4,200398.5,191935,174220.3,185645.7,188088.7
CO2 emissions (kt),EN.ATM.CO2E.KT,United Kingdom,GBR,530888.2,545262.2,530785.9,543037.1,543075.9,540917,542060.8,530502.5,515335.6,466492.5,482646.2,445648.4,467831,453778.1,415609,401075.3,382154.9,366844.1,360555.9,345934.3,308650.3
CO2 emissions (kt),EN.ATM.CO2E.KT,United States,USA,5775807.2,5748261.8,5593024.4,5658992,5738286,5753493.2,5653081,5736319.3,5558378.9,5156424.9,5392109.4,5173591.2,4956053,5092097.2,5107208.6,4990703.7,4894499.2,4819365.1,4975300.4,4817710.4,4320532.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Uruguay,URY,5458.5,4946.3,4530.6,4486.1,5459.9,5415.8,6332.1,5854.7,7750.1,7665.9,6283.8,7605.9,8517.7,7357.6,6500.4,6657.2,6525.1,6103.8,6545.7,6806.7,6514.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Uzbekistan,UZB,123804.5,125695.4,129888,121905.7,124840.1,119190.1,127356.9,122580.6,128884.1,116532.5,126240.5,128633.7,113140.2,111856.5,104872.5,99358.2,105333.9,109708.5,112720.5,117687.8,115577.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Vanuatu,VUT,89.3,92.9,82.9,87,61.7,61.6,61.6,105,101.1,127.5,127.1,134.2,120.5,111.9,158.9,134.3,151.3,141,177.5,166.9,121.3
CO2 emissions (kt),EN.ATM.CO2E.KT,"Venezuela, RB",VEN,131516.7,135800.4,140747.6,135770.2,139606.7,147374.4,147532.1,142388.6,151112.1,152586.3,164101.6,160039.6,181128.8,180422.6,179236.1,163126.9,150466.7,139787.4,130158,107502.3,72509
CO2 emissions (kt),EN.ATM.CO2E.KT,Viet Nam,VNM,51207.7,56722.4,66495.8,70903.7,85051.8,92368.6,94869.7,105137.4,117585.1,132290,151413.5,155973.3,155522.8,164297.4,180698.8,201513.3,222028.5,229877.4,286139.3,341716.8,355323.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,"Yemen, Rep.",YEM,15030.5,16065.3,16093.7,18699.7,19628.8,21105.6,21918.5,23270.2,24216.2,26568.7,25431.9,22950.1,21012.5,27825,27429.9,13552.2,10035.2,9682.2,11349.8,11194.8,9960.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Zambia,ZMB,1807.2,1835.28,1922.95,2084.2,2106.2,2293.1,2177.5,1981.6,2185.9,2485.2,2656.9,3050.7,4030.3,4238.6,4686,4956.6,5315.3,6810.7,7857.2,7615.7,7607.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Zimbabwe,ZWE,13578.9,13545.4,12293.4,10103.3,9672.3,10455.9,9791.8,9754.3,7711.6,7572.7,9518,11357.6,11954.9,12216.8,12010.7,11988.7,10450.2,9781,11069.9,10185.3,8312.5
GDP (constant LCU),NY.GDP.MKTP.KN,Afghanistan,AFG,..,..,487122374995.561,530146376442.678,537643271675.399,598019077853.05,630057371373.126,717171116874.754,745319967185.389,904747846385.673,1034691726267.28,1039103183947.35,1171612605112.31,1237231635506.55,1270940547928.42,1289385894421.63,1318530066902.86,1353431599992.55,1369526989278.05,1423097453820.57,1389639000000
GDP (constant LCU),NY.GDP.MKTP.KN,Albania,ALB,720599843000,780361440800,815762726100,860863289800,908337041400,958535599900,1015114688100,1075851634300,1156540952600,1195334682600,1239645000000,1271199000000,1289214976300,1302133136500,1325238823000,1354642246300,1399548375100,1452767583700,1511159333900,1542707988600,1491766505200
GDP (constant LCU),NY.GDP.MKTP.KN,Algeria,DZA,10436748603000,10749851061000,11351842720000,12169175396000,12692449938000,13441304484000,13669806661000,14134580087000,14473810009000,14705390969000,15234785044000,15676593810000,16209598000000,16663466744000,17296678480000,17936655584000,18510628563000,18751266734000,18976281935000,19166044754000,18188576472000
GDP (constant LCU),NY.GDP.MKTP.KN,American Samoa,ASM,..,..,725000000,732000000,735000000,732000000,702000000,715000000,696000000,667000000,669000000,669000000,640000000,624000000,635000000,655000000,644000000,599000000,615000000,612000000,639000000
GDP (constant LCU),NY.GDP.MKTP.KN,Andorra,AND,1991660000,2153370000,2251270000,2447000000,2646080000,2788910000,2923020000,2968420000,2803400000,2654740000,2602310000,2602100000,2472660000,2384940000,2444670000,2479730000,2571720000,2580620000,2621620000,2674460000,2375350000
GDP (constant LCU),NY.GDP.MKTP.KN,Angola,AGO,561760112000,585387734200,665385000000,685280011500,760318172800,874593994100,975609600400,1112292505500,1236535578300,1247169784300,1302025000000,1347232000000,1462314000000,1534766000000,1608781000000,1623961000000,1582061000000,1579733000000,1558938000000,1547990000000,1460711000000
GDP (constant LCU),NY.GDP.MKTP.KN,Antigua and Barbuda,ATG,3296025624.06856,3146122264.2287,3178446844.79149,3371586555.93048,3566026917.28272,3796885484.60573,4279399331.60875,4678041776.43998,4677370914.75105,4117831193.01435,3794968736.92306,3720640000,3774190000,3792530000,3876400000,3932420000,4093640000,4194480000,4486130000,4625220000,3751960000
GDP (constant LCU),NY.GDP.MKTP.KN,Argentina,ARG,479956106900,458795611600,408812193300,444939093600,485115195200,528055942500,570549404200,621942502600,647176159700,608872876400,670523679400,710781597200,703485989500,720407105300,702306046000,721487146600,706477848600,726389947800,707377443000,693223803600,624591286200
GDP (constant LCU),NY.GDP.MKTP.KN,Armenia,ARM,1767867741800,1937583045000,2193344006900,2500412167900,2762955445500,3147006252400,3562411077700,4050461395400,4329943231700,3719421236000,3801248503200,3979907182800,4266460500000,4407253696500,4565914829600,4712024104100,4721448152300,5075556763800,5339485715500,5745286629800,5331625992500
GDP (constant LCU),NY.GDP.MKTP.KN,Aruba,ABW,4409259399.58566,4593654744.14122,4550246788.61426,4600777507.15817,4936345747.64702,4917432652.10482,4972872384.20721,5126511459.68251,5220621684.92493,4610970952.24191,4484932103.58175,4636040145.76558,4587788233.65011,4882851000,4805380924.1482,4775413336.94852,4857532496.31185,5199917289.88211,5323765286.48063,5201167657.97474,3953793445.49705
GDP (constant LCU),NY.GDP.MKTP.KN,Australia,AUS,1283623000000,1309618000000,1361736000000,1403823000000,1463125000000,1509274000000,1550859000000,1609379000000,1667095000000,1698646000000,1736467000000,1778298000000,1847979000000,1896141000000,1945581000000,1988419000000,2043680000000,2091067000000,2151841000000,2198775000000,2191416000000
GDP (constant LCU),NY.GDP.MKTP.KN,Austria,AUT,280476580000,284030690000,288721610000,291439840000,299411070000,306130050000,316703910000,328508780000,333306400000,320758820000,326651460000,336198820000,338486470000,338572800000,340811690000,344269230000,351118250000,359048510000,367756820000,373091240000,348344130000
GDP (constant LCU),NY.GDP.MKTP.KN,Azerbaijan,AZE,6757580900,7426581400,8127570200,8957256900,9786143700,12522500000,16842762500,21053453100,23318589500,25486370400,26773163100,26799936300,27380219100,28970955300,29767803400,30093456000,29160558900,29218880000,29657163200,30398592300,29091452800
GDP (constant LCU),NY.GDP.MKTP.KN,"Bahamas, The",BHS,10868200000,11153600000,11455300000,11310400000,11410200000,11797700000,12094600000,12269500000,11984400000,11484000000,11660700000,11732200000,12094300000,11748100000,11965100000,12084300000,11992100000,12294800000,12653600000,12559500000,9607000000
GDP (constant LCU),NY.GDP.MKTP.KN,Bahrain,BHR,5736370000,5879260000,6076130000,6458710000,6909590000,7377300000,7854390000,8505830000,9037020000,9266550000,9668190000,9859960000,10227550000,10781560000,11250600000,11530220000,11940480000,12452840000,12715735700,12991281200,12387883300
GDP (constant LCU),NY.GDP.MKTP.KN,Bangladesh,BGD,8291521224200,8712505617700,9046466756300,9475230145500,9971687947300,10623431981000,11332217269000,12132113084000,12861712858000,13510602323000,14263384467000,15185423715000,16175734863000,17148479770000,18187859308000,19379644230000,20758211000000,22126230000000,23745739000000,25617356000000,26500649000000
GDP (constant LCU),NY.GDP.MKTP.KN,Barbados,BRB,8455000000,8255000000,8320000000,8501000000,8621000000,8962000000,9503800000,9701400000,9764700000,9273000000,9062300000,8994500000,8967000000,8850500000,8850400000,9065100000,9294900000,9337900000,9256500000,9280900000,8098700000
GDP (constant LCU),NY.GDP.MKTP.KN,Belarus,BLR,54889090200,57482767700,60382927100,64635812900,72036447400,78807874600,86688657900,94143888200,103746564300,103954052500,112060666900,118088082400,120080388400,121285360000,123379000000,118654000000,115657000000,118585000000,122320000000,124089000000,123254000000
GDP (constant LCU),NY.GDP.MKTP.KN,Belgium,BEL,329614200000,333238700000,338926700000,342444700000,354674100000,362908700000,372171400000,385855700000,387580200000,379748200000,390625300000,397244500000,400181000000,402018800000,408364800000,416701400000,421979700000,428814000000,436502400000,446283700000,422805700000
GDP (constant LCU),NY.GDP.MKTP.KN,Belize,BLZ,2718855006.69414,2854622752.55129,3008745893.28866,3299547963.29897,3457288323.77421,3534012095.32887,3693447476.32382,3815221330.57736,3756520567.10845,3739590219.89761,3785959377.8523,3774670346.45999,3912883652.52705,4086523492.77331,4250201766.74691,4387291731.10541,4386807619.14705,4307258778.65604,4352726126.11508,4537117813.50779,3914094811.27876
GDP (constant LCU),NY.GDP.MKTP.KN,Benin,BEN,3676955000000,3873052000000,4052879000000,4192443000000,4378155000000,4453160000000,4628781000000,4905876000000,5146096000000,5265449000000,5376764000000,5536118000000,5802473000000,6219754000000,6615186000000,6732814000000,6957668000000,7352276451000,7844677051900,8383267995300,8705922576800
GDP (constant LCU),NY.GDP.MKTP.KN,Bermuda,BMU,6355224600,6814226600,6713526600,6942505300,7103659400,7222589300,7623000000,7878000000,7731000000,7296000000,7113390000,6847154000,6483892000,6465756000,6226454000,6274742000,6233504000,6458622000,6430669000,6450364000,6009291000
GDP (constant LCU),NY.GDP.MKTP.KN,Bhutan,BTN,48760751703.2467,52831764668.4358,58639181143.8175,63226701587.0045,67025831109.7764,71910170553.1215,76943694155.5144,91071213544.3535,95442140566.8835,101882894749.047,114053719395.903,123158191035.791,129461920942.471,132206478236.584,139843379740.782,149132101607.138,161252117521.255,168753299438.758,174662823706.215,184714928595.599,165840023120.963
GDP (constant LCU),NY.GDP.MKTP.KN,Bolivia,BOL,22356265300,22732699900,23297736100,23929416900,24928062200,26030239800,27278912700,28524027100,30277826300,31294252800,32585679800,34281468700,36037460000,38486569900,40588155800,42559598500,44374306100,46235899800,48188730200,49256932500,44952918700
GDP (constant LCU),NY.GDP.MKTP.KN,Bosnia and Herzegovina,BIH,18827777000,19284033000,20253527000,21036759000,22367390000,23239087000,24497252000,25932087000,27343786000,26522254000,26751849000,27008536000,26786570000,27416016000,27732356000,28928938000,29866888000,30835800000,32016040000,32940453000,31947267000
GDP (constant LCU),NY.GDP.MKTP.KN,Botswana,BWA,96255257300,96496447900,102353329600,107088086900,109985699600,114997358200,124615589000,131834016500,136121354900,116868031100,128697657600,137498685200,137263698900,152503845500,161188600000,153368800000,164418139800,171182900000,178352200000,183760200000,167720226900
GDP (constant LCU),NY.GDP.MKTP.KN,Brazil,BRA,2706891619700,2744514608900,2828317315700,2860583579800,3025352182400,3122227954600,3245930273700,3442954041300,3618344849300,3613792537200,3885847000000,4040287000000,4117908023600,4241643857400,4263019865100,4111863267300,3977162043300,4029774689200,4101652440900,4151724504300,4015682506400
GDP (constant LCU),NY.GDP.MKTP.KN,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (constant LCU),NY.GDP.MKTP.KN,Brunei Darussalam,BRN,16322663500,16770564000,17419936500,17925803700,18016206800,18086020900,18881393400,18910580600,18543769300,18216557900,18690000000,19390000000,19567000000,19151000000,18670625400,18597364900,18136537500,18377500000,18387100000,19098517100,19315012800
GDP (constant LCU),NY.GDP.MKTP.KN,Bulgaria,BGR,53595624000,55644962000,58912395000,61997728000,66034044000,70693637000,75502635000,80526873000,85462815000,82602253000,83887015000,85640401000,86281689000,85813394000,86628148000,89571386000,92282379000,94816386000,97371599000,101300727000,97282982000
GDP (constant LCU),NY.GDP.MKTP.KN,Burkina Faso,BFA,3019807772100,3219519912800,3359664450100,3621802063500,3784002735400,4111768255300,4368883895900,4548505271700,4812318201800,4954856702100,5373357850900,5729211839000,6098899108900,6452183014400,6731359012200,6995311000000,7412090000000,7871898218300,8391803173100,8852215713700,9022354475600
